species_1,species_2,16S,dnaK,fusA,nifH,recA
aba,amr,2012.5,1438.5,1353.0,,891.0
aba,ams,2107.0,1380.0,1657.5,,1173.0
aba,amv,2121.0,1693.5,2059.5,,1269.0
aba,amyb,2072.0,1276.5,1597.5,,1201.5
aba,amyy,2062.0,1549.5,1644.0,,1185.0
aba,ane,2003.5,1443.0,2247.0,,1170.0
aba,anp,1888.5,1419.0,1350.0,,834.0
aba,ant,1982.0,1242.0,1695.0,,757.5
aba,aoa,1907.5,1681.5,1605.0,,1189.5
aba,aol,2078.0,1696.5,2299.5,,1189.5
aba,aon,2018.5,1651.5,2323.5,,1218.0
aba,aos,2001.0,1455.0,2235.0,,1197.0
aba,apac,2052.0,1662.0,2151.0,,1135.5
aba,ape,1534.0,,,,
aba,apn,2045.0,1473.0,1542.0,,1173.0
aba,apoc,1926.0,1257.0,1665.0,,723.0
aba,apom,2137.0,1596.0,1857.0,,1008.0
aba,app,2080.0,1696.5,1599.0,,1155.0
aba,apre,2091.0,1291.5,1645.5,,1210.5
aba,aprs,2117.0,1666.5,2173.5,,1093.5
aba,aqa,1873.0,1363.5,1623.0,,772.5
aba,aql,2071.5,1642.5,2223.0,,1192.5
aba,aqs,2043.0,1659.0,2134.5,,1152.0
aba,arc,1984.0,1207.5,1681.5,,708.0
aba,arl,2056.0,1494.0,2226.0,,1114.5
aba,arm,2034.5,1470.0,2134.5,,1113.0
aba,aro,2091.0,1677.0,2241.0,,1140.0
aba,art,2064.5,1471.5,1581.0,,1158.0
aba,artp,2051.5,1485.0,2217.0,,1188.0
aba,aru,2049.0,1471.5,2203.5,,1174.5
aba,ary,2059.0,1494.0,2220.0,,1111.5
aba,asc,1540.5,,,,
aba,asd,2048.0,1525.5,2128.5,,1050.0
aba,asip,2078.5,1525.5,1992.0,,1074.0
aba,ask,1951.0,1243.5,1672.5,,733.5
aba,asl,1715.0,1375.5,1651.5,,870.0
aba,asv,2137.0,1597.5,1863.0,,1005.0
aba,asw,1996.0,1663.5,2334.0,,1215.0
aba,ata,2084.5,1653.0,2220.0,,1147.5
aba,atp,1935.0,1222.5,1650.0,,711.0
aba,atu,2086.0,1650.0,2232.0,,1132.5
aba,atw,2007.5,1734.0,2290.5,,1150.5
aba,ava,1972.5,1486.5,1875.0,,849.0
aba,axy,1999.0,1668.0,2325.0,,1222.5
aba,aza,2023.0,1609.5,1588.5,,1213.5
aba,azc,2072.5,1699.5,2239.5,,1197.0
aba,azd,2025.0,1695.0,1608.0,,1215.0
aba,azi,2023.0,1683.0,1597.5,,1206.0
aba,azl,2114.5,1693.5,1564.5,,1242.0
aba,azm,2122.0,1692.0,2022.0,,1246.5
aba,azo,2018.5,1674.0,1612.5,,1188.0
aba,azq,2000.0,1647.0,2245.5,,1188.0
aba,azr,2013.0,1672.5,1588.5,,1183.5
aba,azt,2109.0,1671.0,1573.5,,1276.5
aba,azz,2138.5,1656.0,2097.0,,1251.0
aba,babb,2079.0,1666.5,2085.0,,1123.5
aba,babr,2079.0,1666.5,2085.0,,1123.5
aba,bac,2052.5,1759.5,2374.5,,1216.5
aba,bacb,2116.0,1399.5,2013.0,,1012.5
aba,bacl,2121.0,1377.0,2004.0,,972.0
aba,baco,2112.5,1413.0,2067.0,,1086.0
aba,bacp,2113.0,1396.5,2019.0,,1014.0
aba,bacs,2111.5,1401.0,2022.0,,1018.5
aba,bacy,2120.0,1365.0,2004.0,,976.5
aba,bae,2112.5,1420.5,1983.0,,990.0
aba,bag,2080.5,1465.5,2043.0,,1024.5
aba,bage,2053.5,1573.5,1972.5,,1027.5
aba,bah,2040.0,1312.5,1993.5,,397.5
aba,bai,2040.0,1312.5,1996.5,,397.5
aba,bao,2105.0,1405.5,2010.0,,1024.5
aba,bapi,2073.0,1528.5,1863.0,,1003.5
aba,baq,2111.0,1407.0,2010.0,,1012.5
aba,bar,2035.0,1312.5,1996.5,,
aba,bast,1988.5,1492.5,2152.5,,1146.0
aba,bat,2041.0,1312.5,1996.5,,870.0
aba,bax,2114.5,1312.5,1989.0,,397.5
aba,bay,2112.5,1392.0,2013.0,,1015.5
aba,baz,2105.0,1411.5,2010.0,,1024.5
aba,bbet,2066.5,1738.5,1651.5,,1218.0
aba,bbh,2001.5,1692.0,2358.0,,1221.0
aba,bbm,1998.5,1689.0,2353.5,,1219.5
aba,bbr,2001.5,1692.0,2358.0,,1224.0
aba,bbt,2086.0,1713.0,1575.0,,1186.5
aba,bby,2117.0,1317.0,2004.0,,
aba,bcad,1895.5,1401.0,1686.0,,886.5
aba,bce,2037.0,1323.0,2007.0,,880.5
aba,bcl,2118.5,1446.0,2004.0,,1009.5
aba,bfr,1841.5,1498.5,1498.5,,933.0
aba,bja,2081.0,1719.0,2286.0,,1213.5
aba,bjs,2115.5,1375.5,2002.5,,964.5
aba,bju,2084.0,1719.0,1623.0,,1201.5
aba,bld,2114.0,1443.0,2041.5,,1057.5
aba,blh,2116.5,1435.5,2040.0,,1053.0
aba,bli,2122.5,1443.0,2041.5,,1057.5
aba,bly,2042.0,1480.5,2259.0,,1165.5
aba,bma,1959.0,1773.0,2365.5,,1245.0
aba,bmab,2032.0,1773.0,2380.5,,1245.0
aba,bmyc,2097.0,1305.0,1984.5,,868.5
aba,bnc,1944.5,1294.5,1998.0,,394.5
aba,boz,1979.5,1609.5,2136.0,,1030.5
aba,bpa,2001.5,1687.5,2352.0,,1221.0
aba,bpz,2035.0,1773.0,2368.5,,1248.0
aba,bql,2108.0,1411.5,2010.0,,1024.5
aba,bqy,2110.0,1354.5,1785.0,,978.0
aba,bra,2071.0,1711.5,2248.5,,1194.0
aba,bsau,2076.0,1473.0,2262.0,,1236.0
aba,bsui,1937.0,1669.5,2080.5,,1116.0
aba,bth,1621.5,1504.5,1447.5,,931.5
aba,btr,2070.0,1489.5,1768.5,,861.0
aba,bxe,1941.5,1767.0,2335.5,,1224.0
aba,cac,893.5,1254.0,1725.0,,801.0
aba,cau,1933.5,1557.0,2095.5,,1024.5
aba,cgl,2097.0,1426.5,2115.0,,1093.5
aba,cko,241.0,1606.5,1966.5,,1107.0
aba,ctu,2069.5,1629.0,2011.5,,1098.0
aba,ddn,2112.5,1606.5,1815.0,,1182.0
aba,dha,,1332.0,1407.0,,
aba,dse,,1554.0,1542.0,,
aba,eco,2037.0,1585.5,2020.5,,1084.5
aba,ent,2048.0,1573.5,2046.0,,993.0
aba,esa,239.5,1620.0,1998.0,,1089.0
aba,fjo,1874.5,1366.5,1608.0,,814.5
aba,gme,2195.0,1585.5,2154.0,,1191.0
aba,hde,2021.5,1389.0,1842.0,,874.5
aba,hpy,2012.0,1347.0,1930.5,,862.5
aba,kpn,2034.5,1612.5,2101.5,,1087.5
aba,lap,2050.5,1659.0,1554.0,,1188.0
aba,lmo,2107.0,1243.5,1924.5,,859.5
aba,mag,2122.0,1648.5,1557.0,,1248.0
aba,mcp,1981.5,1144.5,1605.0,,609.0
aba,mlo,2050.5,1699.5,2286.0,,1221.0
aba,mmu,,1413.0,1540.5,,
aba,mtu,2059.0,1497.0,1617.0,,690.0
aba,mxa,2164.0,1348.5,1924.5,,1233.0
aba,nfa,2044.5,1303.5,1653.0,,1216.5
aba,nme,,1473.0,1897.5,,1096.5
aba,nos,1947.0,1476.0,1527.0,,829.5
aba,npc,2046.0,1476.0,2241.0,,1170.0
aba,nwi,2073.5,1693.5,2179.5,,1116.0
aba,pae,2053.5,1638.0,2308.5,,1188.0
aba,pam,2033.5,1608.0,1995.0,,1051.5
aba,paq,2018.5,1617.0,1995.0,,1051.5
aba,par,1994.5,1489.5,1887.0,,919.5
aba,pcr,1991.0,1465.5,1888.5,,937.5
aba,pdo,1971.5,1458.0,2157.0,,1119.0
aba,pfl,2041.5,1581.0,2128.5,,1150.5
aba,pmh,1985.5,1221.0,1602.0,,757.5
aba,pps,,1372.5,1522.5,,
aba,ppu,2047.0,1581.0,2151.0,,1128.0
aba,psa,931.5,1623.0,2214.0,,1108.5
aba,rbd,2026.5,1668.0,2271.0,,1191.0
aba,rfr,2048.5,1507.5,1578.0,,1120.5
aba,rhc,2002.0,1654.5,1452.0,,1170.0
aba,rpa,2089.0,1716.0,2250.0,,1221.0
aba,rso,2002.0,1713.0,2367.0,,1212.0
aba,sau,2114.5,1249.5,1846.5,,799.5
aba,sco,2056.0,1536.0,1630.5,,1222.5
aba,sfr,2036.0,1479.0,1917.0,,921.0
aba,sil,2017.5,1662.0,2122.5,,1095.0
aba,slr,1853.5,1602.0,1738.5,,1017.0
aba,son,2020.0,1522.5,1941.0,,936.0
aba,spe,2045.0,1573.5,2092.5,,1027.5
aba,spy,1744.5,1308.0,1896.0,,825.0
aba,srr,2043.0,1608.0,2107.5,,1015.5
aba,syn,2035.0,1486.5,1317.0,,901.5
aba,tpo,1860.5,1575.0,1651.5,,919.5
aba,ttu,2004.0,1548.0,2065.5,,957.0
aba,vch,2037.5,1513.5,2008.5,,970.5
aba,vpa,1870.0,1467.0,1681.5,,945.0
aba,wbr,1993.5,1191.0,1474.5,,651.0
aba,xcc,2078.0,1668.0,2280.0,,1143.0
aba,xoo,2078.0,1690.5,2190.0,,1117.5
abo,aaa,2253.5,2205.0,2251.5,,1152.0
abo,aaci,2081.5,1776.0,1981.5,,1068.0
abo,aalg,1947.0,1734.0,1929.0,,925.5
abo,aamb,1508.0,,,,
abo,aaq,2124.5,1728.0,2019.0,,1062.0
abo,aaqi,2077.5,1536.0,1984.5,,844.5
abo,aaqu,2307.5,2220.0,2191.5,,
abo,aasc,2248.0,2139.0,2016.0,,1128.0
abo,aba,2059.5,1596.0,2041.5,,1038.0
abo,abo,3084.0,3852.0,4200.0,,2070.0
abo,ace,2128.5,1722.0,1965.0,,1045.5
abo,acet,2249.5,2152.5,2025.0,,1135.5
abo,achr,2309.5,2280.0,2301.0,,1150.5
abo,acib,2049.0,1543.5,1956.0,,841.5
abo,acid,2279.0,2182.5,2307.0,,1171.5
abo,acii,2466.0,2229.0,2239.5,,1146.0
abo,acin,2279.0,2203.5,2299.5,,1158.0
abo,acio,2276.5,2197.5,2263.5,,1150.5
abo,acip,2282.0,2196.0,2295.0,,1159.5
abo,acis,2282.0,2196.0,2295.0,,1159.5
abo,ack,2292.5,2164.5,2280.0,,1150.5
abo,acom,2373.5,2230.5,1377.0,,1189.5
abo,acr,2195.0,2035.5,1906.5,,1135.5
abo,acra,2270.5,2176.5,2254.5,,1165.5
abo,acry,2121.5,1746.0,2056.5,,1044.0
abo,acto,2018.5,1686.0,1888.5,,1014.0
abo,actt,2095.5,1723.5,2001.0,,
abo,acu,2208.0,2209.5,2187.0,,1141.5
abo,ade,2206.5,1324.5,2070.0,,973.5
abo,adi,2796.5,2820.0,3049.5,,1506.0
abo,adk,2279.0,2223.0,2202.0,,1153.5
abo,adn,2279.0,2223.0,2202.0,,1153.5
abo,adt,2304.0,2284.5,2239.5,,1179.0
abo,aeb,2092.5,1707.0,1968.0,,1044.0
abo,aeh,2507.0,2331.0,2317.5,,1239.0
abo,aei,2457.0,2001.0,2347.5,,1087.5
abo,aep,2055.0,1977.0,2169.0,,1104.0
abo,aev,1978.5,1737.0,1911.0,,886.5
abo,aez,2104.5,1720.5,1956.0,,1048.5
abo,afa,2296.5,2233.5,2208.0,,1161.0
abo,afc,2028.0,1534.5,1920.0,,808.5
abo,afi,2370.0,2212.5,2202.0,,1110.0
abo,afla,1965.5,1845.0,1383.0,,894.0
abo,afq,2306.0,2211.0,2191.5,,
abo,agc,2200.5,2059.5,2166.0,,1090.5
abo,agt,2214.0,2089.5,2160.0,,1074.0
abo,agv,1925.0,1327.5,1717.5,,982.5
abo,aht,2128.0,2131.5,2107.5,,1126.5
abo,ahu,2227.5,2055.0,1875.0,,1123.5
abo,ahz,1961.5,1669.5,1897.5,,871.5
abo,ais,2304.0,2298.0,2200.5,,1180.5
abo,aji,2086.5,1044.0,1992.0,,1026.0
abo,ajs,2296.0,2211.0,2235.0,,1140.0
abo,aka,2290.0,2311.5,1543.5,,1000.5
abo,alg,2320.0,2227.5,2227.5,,1165.5
abo,ali,2203.0,2086.5,1854.0,,1116.0
abo,aln,3078.0,3852.0,4191.0,,2052.0
abo,alp,2044.5,1576.5,1986.0,,873.0
abo,als,1932.0,1678.5,1897.5,,910.5
abo,alti,1947.0,1773.0,1914.0,,892.5
abo,alv,2486.5,2308.5,1426.5,,1168.5
abo,amah,2226.5,2320.5,2374.5,,1246.5
abo,amc,2413.0,2242.5,1914.0,,1143.0
abo,ame,,1546.5,1377.0,,
abo,amh,2412.0,2244.0,1914.0,,1140.0
abo,ami,2109.5,1206.0,1452.0,,1104.0
abo,amih,2217.0,2101.5,1387.5,,1062.0
abo,amol,2055.5,1584.0,2010.0,,862.5
abo,amr,2072.5,1624.5,1360.5,,933.0
abo,ams,2120.5,1282.5,1477.5,,1035.0
abo,amv,2203.5,2032.5,1903.5,,1131.0
abo,amyb,2096.0,1209.0,1422.0,,1110.0
abo,amyy,2069.5,1762.5,1453.5,,1138.5
abo,ane,2062.0,1713.0,1914.0,,1048.5
abo,anp,1944.0,1798.5,1354.5,,882.0
abo,ant,2054.0,1591.5,1983.0,,856.5
abo,aoa,2216.5,2326.5,1339.5,,1152.0
abo,aol,2189.0,2106.0,2040.0,,1140.0
abo,aon,2297.5,2248.5,2257.5,,1185.0
abo,aos,2068.5,1725.0,1938.0,,1059.0
abo,apac,2773.5,2617.5,2595.0,,1464.0
abo,ape,1543.0,,,,
abo,apn,2126.0,1756.5,1356.0,,1054.5
abo,apoc,2035.5,1533.0,1939.5,,849.0
abo,apom,2249.5,2152.5,2025.0,,1135.5
abo,app,2305.0,2176.5,1399.5,,1147.5
abo,apre,2121.0,1213.5,1441.5,,1104.0
abo,aprs,2561.0,2260.5,2392.5,,1162.5
abo,aqa,1982.5,1687.5,1953.0,,841.5
abo,aql,2344.5,2287.5,2319.0,,1237.5
abo,aqs,2367.0,2305.5,2388.0,,1234.5
abo,arc,2092.0,1593.0,2016.0,,843.0
abo,arl,2114.5,1786.5,2052.0,,1104.0
abo,arm,2106.5,1723.5,1990.5,,1009.5
abo,aro,2214.0,2074.5,2175.0,,1087.5
abo,art,2121.5,1708.5,1366.5,,1048.5
abo,artp,2126.5,1699.5,2044.5,,1036.5
abo,aru,2119.5,1725.0,2038.5,,1048.5
abo,ary,2116.0,1780.5,2055.0,,1104.0
abo,asc,1522.5,,,,
abo,asd,2093.0,1762.5,2053.5,,1006.5
abo,asip,2339.5,2181.0,2260.5,,1164.0
abo,ask,2050.0,1534.5,1947.0,,883.5
abo,asl,1787.0,1728.0,1921.5,,910.5
abo,asv,2249.5,2151.0,2044.5,,1119.0
abo,asw,2300.5,2254.5,2224.5,,1161.0
abo,ata,2213.5,2092.5,2161.5,,1072.5
abo,atp,2038.5,1501.5,1929.0,,811.5
abo,atu,2228.5,2103.0,2206.5,,1087.5
abo,atw,2405.0,2266.5,2374.5,,1170.0
abo,ava,2083.5,1758.0,1950.0,,979.5
abo,axy,2309.5,2281.5,2215.5,,1164.0
abo,aza,2344.0,1525.5,1342.5,,1159.5
abo,azc,2203.0,2086.5,2052.0,,1116.0
abo,azd,2376.0,2265.0,1375.5,,1161.0
abo,azi,2363.5,2209.5,1341.0,,1167.0
abo,azl,2209.0,2064.0,1332.0,,1105.5
abo,azm,2228.5,2086.5,1827.0,,1126.5
abo,azo,2333.5,2320.5,1348.5,,1156.5
abo,azq,2403.5,2311.5,2379.0,,1173.0
abo,azr,2338.5,2337.0,1392.0,,1177.5
abo,azt,2241.0,2115.0,1339.5,,1152.0
abo,azz,2243.5,2059.5,1896.0,,1122.0
abo,babb,2214.0,2137.5,2166.0,,1099.5
abo,babr,2214.0,2139.0,2166.0,,1099.5
abo,bac,2316.5,2238.0,2400.0,,1131.0
abo,bacb,2219.5,1738.5,2131.5,,955.5
abo,bacl,2220.0,1698.0,2139.0,,948.0
abo,baco,2201.0,1690.5,2139.0,,1017.0
abo,bacp,2216.5,1738.5,2125.5,,951.0
abo,bacs,2215.0,1756.5,2128.5,,969.0
abo,bacy,2219.0,1701.0,2139.0,,942.0
abo,bae,2208.5,1719.0,2155.5,,981.0
abo,bag,2187.0,1732.5,2067.0,,987.0
abo,bage,2416.5,2323.5,2392.5,,1119.0
abo,bah,2160.0,1731.0,2107.5,,456.0
abo,bai,2161.5,1731.0,2109.0,,456.0
abo,bao,2199.5,1738.5,2124.0,,964.5
abo,bapi,2217.0,2058.0,2082.0,,1014.0
abo,baq,2201.0,1737.0,2130.0,,958.5
abo,bar,2158.0,1731.0,2109.0,,
abo,bast,1987.0,1732.5,2019.0,,1084.5
abo,bat,2164.0,1731.0,2109.0,,928.5
abo,bax,2230.0,1731.0,2104.5,,456.0
abo,bay,2216.0,1753.5,2127.0,,952.5
abo,baz,2211.5,1753.5,2124.0,,964.5
abo,bbet,2191.0,2029.5,1395.0,,1116.0
abo,bbh,2313.5,2286.0,2311.5,,1153.5
abo,bbm,2315.0,2283.0,2320.5,,1161.0
abo,bbr,2313.5,2286.0,2311.5,,1153.5
abo,bbt,2183.5,2079.0,1338.0,,1116.0
abo,bby,2252.0,1737.0,2107.5,,
abo,bcad,1988.5,1791.0,1863.0,,874.5
abo,bce,2167.5,1737.0,2110.5,,919.5
abo,bcl,2238.5,1728.0,2056.5,,973.5
abo,bfr,1910.5,1789.5,1507.5,,942.0
abo,bja,2174.0,2052.0,2031.0,,1137.0
abo,bjs,2205.5,1723.5,2136.0,,931.5
abo,bju,2196.5,2022.0,1392.0,,1105.5
abo,bld,2214.5,1755.0,2130.0,,1005.0
abo,blh,2203.5,1744.5,2131.5,,1005.0
abo,bli,2223.0,1755.0,2130.0,,1005.0
abo,bly,2102.0,1710.0,2013.0,,1072.5
abo,bma,2229.0,2227.5,2289.0,,1095.0
abo,bmab,2302.0,2227.5,2415.0,,1095.0
abo,bmyc,2217.0,1750.5,2107.5,,912.0
abo,bnc,2084.0,1737.0,2103.0,,448.5
abo,boz,2305.0,2197.5,2367.0,,1102.5
abo,bpa,2313.5,2286.0,2316.0,,1158.0
abo,bpz,2305.0,2230.5,2289.0,,1092.0
abo,bql,2205.5,1753.5,2124.0,,964.5
abo,bqy,2213.5,1669.5,1905.0,,928.5
abo,bra,2185.0,2085.0,2040.0,,1092.0
abo,bsau,2077.5,1734.0,1999.5,,1087.5
abo,bsui,2066.0,2139.0,2164.5,,1104.0
abo,bth,1656.0,1818.0,1482.0,,915.0
abo,btr,2238.0,1887.0,2026.5,,987.0
abo,bxe,2229.5,2239.5,2370.0,,1146.0
abo,cac,899.5,1507.5,1923.0,,852.0
abo,cau,1906.5,1759.5,2011.5,,1032.0
abo,cgl,2098.5,1714.5,1998.0,,1081.5
abo,cko,289.0,2368.5,2409.0,,1155.0
abo,ctu,2464.0,2406.0,2416.5,,1197.0
abo,ddn,2267.0,1987.5,1551.0,,1038.0
abo,dha,,1680.0,1558.5,,
abo,dse,,1846.5,1533.0,,
abo,eco,2440.5,2362.5,2407.5,,1204.5
abo,ent,2394.5,2350.5,2203.5,,1129.5
abo,esa,290.5,2406.0,2380.5,,1204.5
abo,fjo,1949.5,1732.5,2022.0,,894.0
abo,gme,2283.5,2019.0,2143.5,,1026.0
abo,hde,2357.5,1969.5,2253.0,,1048.5
abo,hpy,2025.5,1660.5,2014.5,,880.5
abo,kpn,2427.5,2352.0,2139.0,,1210.5
abo,lap,2247.0,2062.5,1443.0,,1125.0
abo,lmo,2168.5,1704.0,2107.5,,901.5
abo,mag,2257.0,2134.5,1336.5,,1123.5
abo,mcp,2028.0,1395.0,1869.0,,723.0
abo,mlo,2211.0,2133.0,2110.5,,1048.5
abo,mmu,,1665.0,1564.5,,
abo,mtu,2129.5,1758.0,1510.5,,610.5
abo,mxa,2185.0,1330.5,1743.0,,1084.5
abo,nfa,2092.5,1195.5,1401.0,,1111.5
abo,nme,,2157.0,2206.5,,1102.5
abo,nos,2034.0,1660.5,1635.0,,952.5
abo,npc,2112.0,1740.0,1987.5,,1065.0
abo,nwi,2205.5,2010.0,2013.0,,1095.0
abo,pae,2541.0,2500.5,2314.5,,1341.0
abo,pam,2422.0,2343.0,2392.5,,1141.5
abo,paq,2404.0,2335.5,2389.5,,1138.5
abo,par,2474.5,2140.5,2286.0,,1092.0
abo,pcr,2474.0,2167.5,2280.0,,1098.0
abo,pdo,2025.5,1726.5,2010.0,,1066.5
abo,pfl,2566.5,2445.0,2512.5,,1324.5
abo,pmh,2107.0,1407.0,1747.5,,828.0
abo,pps,,1582.5,1548.0,,
abo,ppu,2551.0,2463.0,2464.5,,1348.5
abo,psa,945.0,2494.5,2499.0,,1252.5
abo,rbd,2314.5,2292.0,2158.5,,1206.0
abo,rfr,2261.5,1612.5,1396.5,,1137.0
abo,rhc,2177.5,2068.5,1276.5,,1063.5
abo,rpa,2198.5,2100.0,2050.5,,1129.5
abo,rso,2272.0,2238.0,2382.0,,1140.0
abo,sau,2198.5,1585.5,1966.5,,888.0
abo,sco,2132.5,1738.5,1435.5,,1102.5
abo,sfr,2514.5,2157.0,2251.5,,1060.5
abo,sil,2167.5,2091.0,2044.5,,1113.0
abo,slr,1993.0,1872.0,1660.5,,961.5
abo,son,2498.5,2218.5,2352.0,,1084.5
abo,spe,2423.0,2349.0,2158.5,,1222.5
abo,spy,1797.0,1627.5,2044.5,,918.0
abo,srr,2407.5,2412.0,2205.0,,1204.5
abo,syn,2098.0,1614.0,1348.5,,937.5
abo,tpo,1926.5,1825.5,1644.0,,892.5
abo,ttu,2481.0,2391.0,2535.0,,1234.5
abo,vch,2469.5,2298.0,2394.0,,1075.5
abo,vpa,2332.0,2212.5,1903.5,,1062.0
abo,wbr,2325.0,1773.0,1788.0,,840.0
abo,xcc,2448.5,2245.5,2287.5,,1167.0
abo,xoo,2454.5,2269.5,2253.0,,1119.0
ace,aaa,2067.5,2040.0,2188.5,,1147.5
ace,aaci,2474.5,2364.0,2578.5,,1300.5
ace,aalg,1891.5,1488.0,1654.5,,880.5
ace,aamb,1607.0,,,,
ace,aaq,2504.0,2251.5,2331.0,,1269.0
ace,aaqi,1935.0,1248.0,1513.5,,777.0
ace,aaqu,2054.0,1776.0,2034.0,,
ace,aasc,2116.0,1740.0,1914.0,,994.5
ace,aba,2127.0,1555.5,2293.5,,1071.0
ace,abo,2128.5,1722.0,1965.0,,1045.5
ace,ace,3018.0,3714.0,4206.0,,2076.0
ace,acet,2119.0,1737.0,1920.0,,990.0
ace,achr,2087.5,2005.5,2215.5,,1144.5
ace,acib,1897.5,1219.5,1531.5,,780.0
ace,acid,2061.5,1959.0,2136.0,,1132.5
ace,acii,2197.5,1945.5,2215.5,,1111.5
ace,acin,2064.5,1933.5,2139.0,,1138.5
ace,acio,2066.5,1917.0,2143.5,,1153.5
ace,acip,2064.5,1933.5,2131.5,,1149.0
ace,acis,2064.5,1933.5,2131.5,,1149.0
ace,ack,2075.0,1900.5,2130.0,,1173.0
ace,acom,2072.0,1987.5,1648.5,,1107.0
ace,acr,2103.5,2092.5,2227.5,,1164.0
ace,acra,2060.5,1905.0,2199.0,,1150.5
ace,acry,2570.0,2253.0,2443.5,,1281.0
ace,acto,2399.5,2290.5,2515.5,,1246.5
ace,actt,2421.0,2124.0,2361.0,,
ace,acu,2010.0,1933.5,2226.0,,1081.5
ace,ade,2215.5,1423.5,2421.0,,994.5
ace,adi,2148.5,1887.0,2178.0,,1093.5
ace,adk,2067.5,1956.0,2244.0,,1177.5
ace,adn,2067.5,1950.0,2244.0,,1183.5
ace,adt,2088.0,1977.0,2337.0,,1147.5
ace,aeb,2542.5,2356.5,2673.0,,1317.0
ace,aeh,2262.5,2067.0,2304.0,,1153.5
ace,aei,2095.5,1441.5,1794.0,,870.0
ace,aep,1924.5,1930.5,2289.0,,1066.5
ace,aev,1930.5,1449.0,1600.5,,867.0
ace,aez,2562.0,2407.5,2704.5,,1333.5
ace,afa,2055.0,1810.5,2046.0,,1024.5
ace,afc,1918.5,1230.0,1528.5,,741.0
ace,afi,2119.5,1812.0,1986.0,,1047.0
ace,afla,1904.0,1497.0,1224.0,,864.0
ace,afq,2051.0,1783.5,2031.0,,
ace,agc,2104.5,1998.0,2242.5,,1117.5
ace,agt,2082.0,1959.0,2214.0,,1113.0
ace,agv,2013.5,1675.5,2173.5,,1072.5
ace,aht,1955.5,1939.5,2152.5,,1068.0
ace,ahu,2094.0,2013.0,2181.0,,1155.0
ace,ahz,1847.5,1326.0,1495.5,,802.5
ace,ais,2088.0,1927.5,2238.0,,1126.5
ace,aji,2488.5,1191.0,2563.5,,1285.5
ace,ajs,2086.0,1966.5,2151.0,,1153.5
ace,aka,2057.5,1734.0,1347.0,,912.0
ace,alg,2071.0,1636.5,1878.0,,1018.5
ace,ali,2102.5,2028.0,2238.0,,1129.5
ace,aln,2128.5,1722.0,1965.0,,1042.5
ace,alp,1942.5,1285.5,1519.5,,781.5
ace,als,1905.0,1408.5,1578.0,,828.0
ace,alti,1890.0,1594.5,1606.5,,888.0
ace,alv,2165.5,1996.5,1657.5,,1146.0
ace,amah,1952.0,1887.0,2094.0,,1135.5
ace,amc,2029.0,1581.0,1750.5,,895.5
ace,ame,,1263.0,1146.0,,
ace,amh,2028.0,1584.0,1750.5,,892.5
ace,ami,2684.0,1438.5,1651.5,,1383.0
ace,amih,2112.0,1992.0,1701.0,,1132.5
ace,amol,1922.0,1248.0,1539.0,,765.0
ace,amr,2083.0,1593.0,1345.5,,922.5
ace,ams,2680.0,1425.0,1864.5,,1323.0
ace,amv,2103.0,2088.0,2236.5,,1167.0
ace,amyb,2583.5,1335.0,1647.0,,1369.5
ace,amyy,2578.0,2524.5,1684.5,,1377.0
ace,ane,2437.0,2310.0,2485.5,,1213.5
ace,anp,1876.5,1489.5,1222.5,,822.0
ace,ant,1950.5,1275.0,1555.5,,789.0
ace,aoa,1964.5,2082.0,1626.0,,1158.0
ace,aol,2060.0,1975.5,2241.0,,1129.5
ace,aon,2104.0,1971.0,2247.0,,1156.5
ace,aos,2436.0,2310.0,2461.5,,1239.0
ace,apac,2154.0,1918.5,2158.5,,1108.5
ace,ape,1676.5,,,,
ace,apn,2535.5,2301.0,1546.5,,1269.0
ace,apoc,1896.0,1218.0,1548.0,,753.0
ace,apom,2119.0,1737.0,1920.0,,990.0
ace,app,2086.0,1962.0,1621.5,,1150.5
ace,apre,2692.5,1431.0,1678.5,,1374.0
ace,aprs,2232.5,1756.5,2155.5,,1104.0
ace,aqa,1873.0,1363.5,1528.5,,802.5
ace,aql,2065.5,1900.5,2166.0,,1161.0
ace,aqs,2061.0,1896.0,2067.0,,1110.0
ace,arc,1954.0,1243.5,1488.0,,747.0
ace,arl,2548.0,2175.0,2410.5,,1285.5
ace,arm,2502.5,2236.5,2313.0,,1261.5
ace,aro,2098.5,1980.0,2233.5,,1101.0
ace,art,2550.5,2260.5,1551.0,,1284.0
ace,artp,2552.5,2274.0,2464.5,,1306.5
ace,aru,2544.0,2259.0,2463.0,,1275.0
ace,ary,2554.0,2175.0,2406.0,,1282.5
ace,asc,1638.0,,,,
ace,asd,2565.5,2251.5,2476.5,,1215.0
ace,asip,2042.5,1677.0,1956.0,,1039.5
ace,ask,1903.0,1254.0,1561.5,,751.5
ace,asl,1752.5,1401.0,1504.5,,877.5
ace,asv,2119.0,1728.0,1914.0,,994.5
ace,asw,2084.5,1930.5,2293.5,,1128.0
ace,ata,2081.5,1963.5,2217.0,,1116.0
ace,atp,1894.5,1213.5,1536.0,,744.0
ace,atu,2078.5,1963.5,2233.5,,1081.5
ace,atw,2052.5,2049.0,2296.5,,1117.5
ace,ava,2062.5,1584.0,1755.0,,867.0
ace,axy,2083.0,1935.0,2320.5,,1125.0
ace,aza,2105.5,1788.0,1696.5,,1132.5
