	seqid	from_soil	Up0	Up1	Up2	Up3	Up4	Up5	Up6	Up7	Up8	Up9	Up10	Up11	id	status	prot_name	taxidstr	taxid	scientific_name	rank	superkingdom	kingdom	phylum	class	order	family	genus	species	full_lineage	group4	group8	ra_inf_g4	ra_inf_g8
1426	A0A1A2AHN9|unreviewed|Nitrate	False	-0.07003076568605747	-0.004596779064995179	-0.010401082423821774	-0.019627897200977917	0.0074534537374238525	0.002401992823359903	0.021288612036945757	0.00241365165860946	-0.001297799187013063	-0.0072051776034312036	0.006758832207278855	-0.013253726103155979	A0A1A2AHN9	unreviewed	nitrate reductase alpha subunit	taxID:1834092	1834092.0	Mycobacterium sp. 852002-50816_SCH5313054-b	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. 852002-50816_SCH5313054-b	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; unclassified Mycobacterium				
1427	A0A1X2AK91|unreviewed|Nitrate	False	-0.07015745104612572	-0.004757110124409685	-0.01031505606869049	-0.019667389298637677	0.007703434041003432	0.0021665572283988423	0.02147366613013879	0.0018909822250686285	-0.0016638504875747704	-0.007098225063305834	0.005475219852794225	-0.013218020978239587	A0A1X2AK91	unreviewed	nitrate reductase alpha subunit	taxID:767916	767916.0	Mycobacterium paraense	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium paraense	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium simiae complex				
1428	A0A1X0DRD7|unreviewed|Nitrate	False	-0.07055448903698637	-0.00435663125003808	-0.010220459965149158	-0.01960676837347583	0.007578356252682454	0.002221281674049595	0.020939311536783054	0.0025146491339698798	-0.002380516247384699	-0.007446097475126502	0.005162867440086574	-0.013190422903155936	A0A1X0DRD7	unreviewed	nitrate reductase alpha subunit	taxID:53376	53376.0	Mycobacterium heidelbergense	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium heidelbergense	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium simiae complex				
1429	A0AA41XL79|unreviewed|Nitrate	False	-0.07073981945219313	-0.004108601099857703	-0.01001010352561655	-0.019599017788206278	0.0075042121885631795	0.0023244767438844356	0.020717840021099145	0.0030351949720234792	-0.0017747351890401736	-0.007038478550736889	0.005078108114083493	-0.013371242007604834	A0AA41XL79	unreviewed	nitrate reductase alpha subunit	taxID:324058	324058.0	Mycobacterium alsense	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium alsense	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium				
1430	A0ABD6P179|unreviewed|Nitrate	False	-0.07038033190467961	-0.004283325103799567	-0.010581981731918187	-0.01966475305360288	0.007818285380819722	0.002307580546483061	0.020715842953824753	0.0026253887208278624	-0.0016080865913427882	-0.007196669467002589	0.005808960559280759	-0.013345610884731591	A0ABD6P179	unreviewed	nitrate reductase subunit alpha	taxID:324058	324058.0	Mycobacterium alsense	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium alsense	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium				
1431	A0A1B9D8G4|unreviewed|Nitrate	False	-0.06974455900576967	-0.004162372127785302	-0.00971377018997777	-0.019871866872940066	0.0070582542524994666	0.0029196339263058294	0.02224437167148829	0.002317437877689166	-0.0020342724417281547	-0.006612094005818149	0.005132026706816503	-0.014055252637827632	A0A1B9D8G4	unreviewed	nitrate reductase alpha subunit	taxID:1780	1780.0	Mycobacterium malmoense	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium malmoense	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium				
1432	A0A7I7YP09|unreviewed|Nitrate	False	-0.07008774383292023	-0.004071792615572389	-0.009645518859479379	-0.01982949257557125	0.007153822441003963	0.002521778581954224	0.02143469790119329	0.002561611672634782	-0.0012986239987598182	-0.007147810705089647	0.00522876730012009	-0.014039466464516433	A0A7I7YP09	unreviewed	nitrate reductase alpha subunit	taxID:185642	185642.0	Mycobacterium parmense	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium parmense	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium simiae complex				
1433	A0A1A3IC85|unreviewed|Nitrate	False	-0.06902250921716731	-0.004369284187364676	-0.010556146357916045	-0.020098979181246847	0.007676454159416439	0.002111579232208139	0.021328680544133095	0.002764395408502981	-0.0015133863858416109	-0.00631357957594772	0.006051574155422885	-0.014187222402999525	A0A1A3IC85	unreviewed	nitrate reductase alpha subunit	taxID:1856859	1856859.0	Mycobacterium sp. 1423905.2	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. 1423905.2	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; unclassified Mycobacterium				
1434	A0A1A2UWK0|unreviewed|Nitrate	False	-0.06965070096114552	-0.004164478612014786	-0.009526718749695266	-0.019852506598421835	0.0075096655465346825	0.001943253294857156	0.021003701885210935	0.0022351909106603195	-0.001744732100956872	-0.007150440509371117	0.00712392012458725	-0.013434501404869192	A0A1A2UWK0	unreviewed	nitrate reductase alpha subunit	taxID:1834138	1834138.0	Mycobacterium sp. E2733	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. E2733	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; unclassified Mycobacterium				
1435	A0A1X1ZXD0|unreviewed|Nitrate	False	-0.06946927588161848	-0.0038759483735229957	-0.010317600158493768	-0.020051641384163734	0.00767101932870348	0.0020595014475559077	0.021023950820567808	0.0031364661527151635	-0.002235821779621976	-0.006344392345459005	0.006619859192569166	-0.013480768046320344	A0A1X1ZXD0	unreviewed	nitrate reductase alpha subunit	taxID:244292	244292.0	Mycobacterium nebraskense	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium nebraskense	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium				
1436	A0A1A2J4E6|unreviewed|Nitrate	False	-0.0699049144470288	-0.003942833360051892	-0.010324004486486746	-0.02001935159558016	0.007681588556760123	0.0019737953320647012	0.020956111074304336	0.003132235534456957	-0.0025274245700785992	-0.006446818804020414	0.006508062766238758	-0.01281853280314861	A0A1A2J4E6	unreviewed	nitrate reductase alpha subunit	taxID:1834146	1834146.0	Mycobacterium sp. E3339	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. E3339	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; unclassified Mycobacterium				
1437	A0A1A2MQV5|unreviewed|Nitrate	False	-0.06952158987603405	-0.003913842619380972	-0.010145173728259939	-0.020126134251188383	0.0076873869652219285	0.002018696249678285	0.021094514548998106	0.0032385567530317893	-0.0023833665860094103	-0.0063915836538619986	0.006406164967645704	-0.012989878340294062	A0A1A2MQV5	unreviewed	nitrate reductase alpha subunit	taxID:1834128	1834128.0	Mycobacterium sp. E1747	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. E1747	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; unclassified Mycobacterium				
1438	A0A1A2P656|unreviewed|Nitrate	False	-0.06941491887355149	-0.003932612415548341	-0.010387419546602317	-0.020158772428324985	0.007759634765423054	0.0020012923492813872	0.021123534029924063	0.0031956347375123578	-0.002609356732931324	-0.0064285694731923936	0.00663306612199979	-0.012929181391924748	A0A1A2P656	unreviewed	nitrate reductase alpha subunit	taxID:1856863	1856863.0	Mycobacterium sp. E1715	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. E1715	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; unclassified Mycobacterium				
1439	A0A1A2UY53|unreviewed|Nitrate	False	-0.06944400130927414	-0.003952617947157846	-0.010181057137213163	-0.020152877079808337	0.007376154858796989	0.0020898638191537942	0.02111453479452714	0.0030261723596402596	-0.0027700636565857304	-0.006533887571378806	0.006410178762237126	-0.012988192814741471	A0A1A2UY53	unreviewed	nitrate reductase alpha subunit	taxID:1783	1783.0	Mycobacterium scrofulaceum	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium scrofulaceum	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium				
1440	A0A1A2M745|unreviewed|Nitrate	False	-0.06991857757702505	-0.0039513114833694615	-0.010088467884822101	-0.020077711293629334	0.0075220627090180295	0.0020971407881865516	0.021175004871664113	0.0026711640219876636	-0.003845971314688388	-0.006506971861758228	0.006350554047779704	-0.012135196830690346	A0A1A2M745	unreviewed	nitrate reductase alpha subunit	taxID:1834144	1834144.0	Mycobacterium sp. E3251	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. E3251	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; unclassified Mycobacterium				
1441	A0A1A2YHV9|unreviewed|Nitrate	False	-0.06992395775293023	-0.003952881185235262	-0.010077839194498416	-0.02007217482979995	0.007512755808231096	0.002089634014862049	0.02117804209967164	0.0026794573303251766	-0.0038266953146109672	-0.006501075590227334	0.00632936647528015	-0.01214604367964151	A0A1A2YHV9	unreviewed	nitrate reductase alpha subunit	taxID:1834126	1834126.0	Mycobacterium sp. E1386	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. E1386	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; unclassified Mycobacterium				
1442	A0A1A0TV92|unreviewed|Nitrate	False	-0.06972251139177328	-0.004202644163838937	-0.00991018259177564	-0.020113589504755124	0.007667919516189489	0.0018880177188809425	0.021202452498061346	0.0027792108414666813	-0.002343523679579884	-0.006522514614442701	0.006081078648713533	-0.012217485241579668	A0A1A0TV92	unreviewed	nitrate reductase alpha subunit	taxID:1834112	1834112.0	Mycobacterium sp. 852014-50255_SCH5639931	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. 852014-50255_SCH5639931	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; unclassified Mycobacterium				
1443	A0A1A2DE88|unreviewed|Nitrate	False	-0.06961416590447222	-0.00408516495475036	-0.010110611334830275	-0.020085294573705146	0.007634225953506846	0.0019025928508828466	0.02108247210541056	0.0029068670702005646	-0.0028162805765583458	-0.006610914417165693	0.006446445952569691	-0.012630794901647382	A0A1A2DE88	unreviewed	nitrate reductase alpha subunit	taxID:1834116	1834116.0	Mycobacterium sp. 852014-52450_SCH5900713	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. 852014-52450_SCH5900713	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; unclassified Mycobacterium				
1444	A0A1X0KG98|unreviewed|Nitrate	False	-0.06970943465056914	-0.004205267375626729	-0.01013619323733815	-0.020002680450281012	0.00738271568721196	0.002042051869395871	0.020859286873288033	0.002975333076975964	-0.00267171082773972	-0.006513944642472216	0.006310255832251472	-0.013396924352466399	A0A1X0KG98	unreviewed	nitrate reductase alpha subunit	taxID:1783	1783.0	Mycobacterium scrofulaceum	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium scrofulaceum	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium				
1445	D5PG02|unreviewed|Nitrate	False	-0.06923451605126245	-0.0041472071172635695	-0.0100283845529617	-0.019767077765525103	0.007569254784333752	0.0019027634207077902	0.021027455903870302	0.0030154501954666978	-0.001833447903364506	-0.0067182484232939784	0.006488108459858559	-0.013727872249325857	D5PG02	unreviewed	nitrate reductase alpha subunit	taxID:525368	525368.0	Mycobacterium parascrofulaceum ATCC BAA-614	strain		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium parascrofulaceum	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium simiae complex; Mycobacterium parascrofulaceum				
1446	A0A1X0IA79|unreviewed|Nitrate	False	-0.07042208369770638	-0.0040236600388868695	-0.010045077633793597	-0.01973953985695659	0.007489030083843384	0.001835115026284471	0.020606614776425565	0.0027144328632726193	-0.0035159300676973265	-0.006379081866610872	0.006784787823084133	-0.013112270298474376	A0A1X0IA79	unreviewed	nitrate reductase alpha subunit	taxID:590652	590652.0	Mycobacterium paraseoulense	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium paraseoulense	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium				
1447	A0A7I7P248|unreviewed|Nitrate	False	-0.0703796546547894	-0.003913281676494853	-0.010177370017097462	-0.019828054127994106	0.007522775748005847	0.00210272883457025	0.020765737178093182	0.0030771752889107765	-0.0030023952876393665	-0.006746599804010446	0.00636992754628875	-0.012773523259988871	A0A7I7P248	unreviewed	nitrate reductase alpha subunit	taxID:386911	386911.0	Mycobacterium seoulense	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium seoulense	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium				
1448	A0A0U1DDD0|unreviewed|Nitrate	False	-0.07056793095738398	-0.003912157162057674	-0.010159905525355893	-0.019874421104213103	0.00757766733975872	0.002163970257218038	0.020973515161958386	0.003043320549109362	-0.003324071845721254	-0.006602192066963819	0.0060837960957785845	-0.011961421114898806	A0A0U1DDD0	unreviewed	nitrate reductase alpha subunit	taxID:761804	761804.0	Mycobacterium europaeum	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium europaeum	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium simiae complex				
1449	A0A1A2NCJ7|unreviewed|Nitrate	False	-0.07047670963363672	-0.0039002924744075984	-0.010078812310518482	-0.019834552144802762	0.007466733845326421	0.002061027863942969	0.020763282428705898	0.0030217976989002793	-0.0031287792061753736	-0.006843983316833382	0.006248153770360772	-0.012568716062645037	A0A1A2NCJ7	unreviewed	nitrate reductase alpha subunit	taxID:1856864	1856864.0	Mycobacterium sp. E3247	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. E3247	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; unclassified Mycobacterium				
1450	A0A1A2Q0Q3|unreviewed|Nitrate	False	-0.07053551296007685	-0.0038832870912494694	-0.010028346065645493	-0.019819965752387442	0.007486309307224412	0.002078789148813738	0.02080613305875122	0.003024921339458719	-0.003180427035242408	-0.006855723586267204	0.006157935738984684	-0.012439868774122328	A0A1A2Q0Q3	unreviewed	nitrate reductase alpha subunit	taxID:1834147	1834147.0	Mycobacterium sp. E342	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. E342	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; unclassified Mycobacterium				
1451	A0A1X1V6D3|unreviewed|Nitrate	False	-0.07037360433587207	-0.003545296927936878	-0.010406185826608294	-0.019283432671770472	0.0072090267408993864	0.0030654560877386963	0.020673309819741026	0.0031603093302358487	-0.001649911449401627	-0.007425150795878422	0.00605816709533934	-0.015336719024498409	A0A1X1V6D3	unreviewed	nitrate reductase alpha subunit	taxID:1260918	1260918.0	Mycobacterium fragae	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium fragae	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium				
1452	A0A7V3J3F5|unreviewed|Nitrate	False	-0.07105488269565689	-0.004308397842955942	-0.009968032814609994	-0.01939005450062291	0.007026153653698334	0.0024128839606897628	0.020785708311617454	0.0028855361673185286	-0.0017062409489960004	-0.006182468131625597	0.0060007674556168955	-0.013727437386729891	A0A7V3J3F5	unreviewed	nitrate reductase alpha subunit	taxID:1883427	1883427.0	Actinomycetes bacterium	species		Bacillati	Actinomycetota	Actinomycetes				Actinomycetes bacterium	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; unclassified Actinomycetes				
1453	A0A1S1NPM6|unreviewed|Nitrate	False	-0.06980369763952836	-0.0037823905201655565	-0.010485820347273805	-0.019743718988632277	0.007116126224046719	0.002813429005696905	0.020750753462940617	0.003020826553497557	-0.0022414868337630373	-0.005613577120838503	0.00800983050115177	-0.015170410501857917	A0A1S1NPM6	unreviewed	nitrate reductase alpha subunit	taxID:1858794	1858794.0	Mycobacterium talmoniae	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium talmoniae	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium				
1454	A0A375YYR6|unreviewed|Nitrate	False	-0.06990403432612179	-0.004099605228171347	-0.010621430223432728	-0.019548566597302645	0.007598993951126012	0.002656863245516561	0.020807324634006558	0.002813686108785047	-0.0021712495888232867	-0.006270221126295209	0.007205678214120407	-0.015201512948421484	A0A375YYR6	unreviewed	nitrate reductase alpha subunit	taxID:29313	29313.0	Mycobacterium shimoidei	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium shimoidei	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium				
1455	A0A1X1Y0L7|unreviewed|Nitrate	False	-0.07022614511206908	-0.003958482059781089	-0.010418020450040703	-0.019540663401341085	0.00711927479278847	0.0028145309613174727	0.02077740147770753	0.0027478902213278118	-0.002096296666033822	-0.005915714821410187	0.007618060235418255	-0.014881696553590151	A0A1X1Y0L7	unreviewed	nitrate reductase alpha subunit	taxID:487514	487514.0	Mycobacterium kyorinense	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium kyorinense	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium				
1456	A0A2V0N2H8|unreviewed|Nitrate	False	-0.07026632602310999	-0.004002989483821905	-0.010403888319851748	-0.01952545528692111	0.00704958790722754	0.0028341845909454462	0.020783141307549536	0.0026740345603956817	-0.0019872366032740803	-0.0058811692683240985	0.0075863811491598005	-0.01487276483413746	A0A2V0N2H8	unreviewed	nitrate reductase alpha subunit	taxID:2049453	2049453.0	Mycobacterium sp. MFM001	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. MFM001	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; unclassified Mycobacterium				
1457	A0A1X1RHI7|unreviewed|Nitrate	False	-0.0702873589843025	-0.003986488688100737	-0.010447126022745022	-0.019444116841876802	0.007254674778120636	0.0027761733550023945	0.020828957758957593	0.002302114899634311	-0.0018623247425466865	-0.005919247120707432	0.0077507995170432616	-0.014766848113249206	A0A1X1RHI7	unreviewed	nitrate reductase alpha subunit	taxID:28045	28045.0	Mycobacterium celatum	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium celatum	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium				
1458	A0A7I7W8A6|unreviewed|Nitrate	False	-0.07027329204076037	-0.004077266922735036	-0.010444684163436694	-0.019555458790184395	0.007138483160430726	0.0028693461362678035	0.020794938288898855	0.002283937332321032	-0.002048610491828582	-0.0058793722266805345	0.007626620019107978	-0.014769486901709513	A0A7I7W8A6	unreviewed	nitrate reductase alpha subunit	taxID:43348	43348.0	Mycobacterium branderi	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium branderi	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium				
1459	A0A7I7P9F0|unreviewed|Nitrate	False	-0.07120550391173797	-0.0038072804182044443	-0.010465780066610924	-0.01911159389207406	0.006777137513094691	0.002951769158456794	0.020239912610464924	0.003304898700840813	-0.001968401391757951	-0.006910429191745874	0.007325366878275652	-0.014960602165131351	A0A7I7P9F0	unreviewed	nitrate reductase alpha subunit	taxID:459858	459858.0	Mycobacterium noviomagense	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium noviomagense	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium				
1460	A0A2G8B2Q0|unreviewed|Nitrate	False	-0.0711570684858942	-0.0037571510414043468	-0.010150744456592841	-0.019093072257708493	0.006562440100700088	0.0031125105038895856	0.020220225846321948	0.00311117091384351	-0.0012703444024910876	-0.007300234528446482	0.006647973335231287	-0.01536438911091241	A0A2G8B2Q0	unreviewed	nitrate reductase alpha subunit	taxID:110505	110505.0	Mycobacterium heckeshornense	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium heckeshornense	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium				
1461	A0AAD1GZS2|unreviewed|Nitrate	False	-0.07118777543657906	-0.0038458257375089356	-0.01042595710103317	-0.019054209523183895	0.006219244963274994	0.0033247078102892473	0.02014361975912559	0.0036052085881223685	-0.0017493141947808137	-0.007202525948186053	0.007023344021456834	-0.015343688955217772	A0AAD1GZS2	unreviewed	nitrate reductase alpha subunit	taxID:1789	1789.0	Mycobacterium xenopi	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium xenopi	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium				
1462	A0A7I9XYX7|unreviewed|Nitrate	False	-0.07002923711197422	-0.0044598331811178836	-0.010711526741467985	-0.019699616877471165	0.006718731741286317	0.0026772022009084744	0.020662800171762828	0.0026436947670821663	-0.0018598190532692254	-0.007339375894044756	0.007821260667647085	-0.014193608667720483	A0A7I9XYX7	unreviewed	nitrate reductase alpha subunit	taxID:84962	84962.0	Mycobacterium botniense	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium botniense	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium				
1463	A0A1E3SRK5|unreviewed|Nitrate	False	-0.0701398856482932	-0.004934578094649856	-0.00977498292568684	-0.019484241433692102	0.006037896883332571	0.002678851855490084	0.02128065931998377	0.0015264975390198744	-0.003287801133530973	-0.006969259921994019	0.00481099003111081	-0.015040796997948958	A0A1E3SRK5	unreviewed	nitrate reductase alpha subunit	taxID:243061	243061.0	Mycobacterium sherrisii	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sherrisii	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium simiae complex				
1464	A0AB36IRZ5|unreviewed|Nitrate	False	-0.07027715302861219	-0.004809121274423198	-0.010150268373218035	-0.019558209103672158	0.006474119363749125	0.0031417877704479286	0.021071059106433945	0.0011738493936395329	-0.002290059902749348	-0.0066452007777756915	0.005747258768615505	-0.014536871696207711	A0AB36IRZ5	unreviewed	nitrate reductase alpha subunit	taxID:1834160	1834160.0	Mycobacterium sp. IS-836	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. IS-836	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; unclassified Mycobacterium				
1465	A0A024K2S3|unreviewed|Nitrate	False	-0.07043656750878938	-0.004787731461421796	-0.010501252908897231	-0.019462053930869215	0.006590826001426303	0.002738668754053884	0.0209141387757447	0.0017319469554452657	-0.0024580090702331216	-0.0068755458660566095	0.0074370130934708015	-0.014066045782725236	A0A024K2S3	unreviewed	nitrate reductase alpha subunit	taxID:47839	47839.0	Mycobacterium triplex	species		Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium triplex	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium simiae complex				
